threshold,f1,precision,recall
0.3,0.7777244359097456,0.6792452830188679,0.909601347557552
0.31,0.7770515613652869,0.6829787234042554,0.9011791128579449
0.32,0.7768836869056328,0.6866379310344828,0.8944413250982594
0.33,0.7771232204221895,0.6903619712167466,0.8888265019651881
0.34,0.7753587333003463,0.6930561698363555,0.879842784952274
0.35000000000000003,0.7749003984063745,0.6961968680089485,0.8736664795058956
0.36000000000000004,0.7730122899423125,0.6985494106980961,0.8652442448062886
0.37000000000000005,0.7712121212121212,0.7007801743919229,0.8573834924199888
0.38000000000000006,0.7718137878402442,0.7055813953488372,0.8517686692869174
0.39000000000000007,0.7702564102564102,0.7088249174138744,0.8433464345873105
0.4000000000000001,0.7703052250387998,0.7141486810551558,0.8360471645143178
0.4100000000000001,0.7673021676677984,0.71728515625,0.8248175182481752
0.4200000000000001,0.7630118890356671,0.720558882235529,0.8107804604154969
0.4300000000000001,0.7607066381156317,0.7268542199488491,0.7978663672094329
0.4400000000000001,0.7527815468113975,0.7284663865546218,0.7787759685569905
0.4500000000000001,0.749793559042114,0.7354211663066955,0.7647389107243122
0.46000000000000013,0.745819397993311,0.740453790813503,0.751263335204941
0.47000000000000014,0.7394625176803394,0.7451539338654504,0.73385738349242
0.48000000000000015,0.7332185886402753,0.7495601173020527,0.7175743964065132
0.49000000000000016,0.7287543655413271,0.7564954682779457,0.7029758562605278
0.5000000000000002,0.7243722304283604,0.7643391521197007,0.6883773161145423
0.5100000000000002,0.7212230215827338,0.7736334405144695,0.6754632229084784
0.5200000000000002,0.7141990291262136,0.7768976897689769,0.660864682762493
0.5300000000000002,0.711083819465766,0.7845528455284553,0.6501965188096575
0.5400000000000003,0.704199066874028,0.7894002789400278,0.6355979786636721
0.5500000000000003,0.6892405063291139,0.7897026831036983,0.6114542391914655
0.5600000000000003,0.680577849117175,0.7946026986506747,0.5951712521055587
0.5700000000000003,0.6718851924331376,0.8015564202334631,0.5783267827063447
0.5800000000000003,0.6640132669983416,0.8111831442463533,0.5620437956204379
0.5900000000000003,0.6509433962264151,0.8138163437236732,0.5423919146546884
0.6000000000000003,0.6406837606837607,0.8190559440559441,0.5261089275687816
0.6100000000000003,0.6316153580076098,0.8225225225225226,0.5126333520494104
0.6200000000000003,0.6221910112359551,0.8303655107778819,0.4974733295901179
0.6300000000000003,0.6077662985393659,0.8313840155945419,0.4789444132509826
0.6400000000000003,0.5932080924855492,0.8318135764944276,0.4609769792251544
0.6500000000000004,0.5852769679300291,0.833852544132918,0.4508702975856261
0.6600000000000004,0.5750092148912643,0.8369098712446352,0.43795620437956206
0.6700000000000004,0.5594614809274495,0.8376259798432251,0.41998877035373383
0.6800000000000004,0.5440060698027314,0.8385964912280702,0.4025828186412128
0.6900000000000004,0.5274131274131274,0.8442521631644005,0.38349241998877037
0.7000000000000004,0.5072748721981911,0.8464566929133859,0.3621560920830994
0.7100000000000004,0.48937023666265544,0.8567415730337079,0.3425042111173498
0.7200000000000004,0.4724152022885166,0.8678678678678678,0.3245367770915216
0.7300000000000004,0.4450020911752405,0.8721311475409836,0.2987085906793936
0.7400000000000004,0.4206484641638225,0.8756660746003553,0.2768107804604155
0.7500000000000004,0.38720981165133594,0.8804780876494024,0.24817518248175183
0.7600000000000005,0.365093499554764,0.8817204301075269,0.23020774845592365
0.7700000000000005,0.34523271577044734,0.8842592592592593,0.21448624368332397
0.7800000000000005,0.3368324965769055,0.9,0.20718697361033128
0.7900000000000005,0.31959240389069016,0.9126984126984127,0.19371139809096014
0.8000000000000005,0.2955294117647059,0.9127906976744186,0.1763054463784391
